chain,level,node_family,node,method,strategy,provider,model,consumed_artifact,future,implemented,note
statute,source,*_text,statute_text,file,official-unit,code,b0524c1,fixture path,false,true,"the official Riigi Teataja XML in data/sources/legislation rendered whole, or — above max_statute_tokens — as the smallest structural unit enclosing the declared eIds (Ruling H; provenance: global_id + sha256 + unit + declared eIds)"
statute,source,*_text,statute_text,slice,declared-provisions,code,b0524c1,statute.yaml provisions,false,true,only the eIds statute.yaml declares; ablation against full-act
statute,source,*_text,statute_text,live,statute-api,code,b0524c1,endpoint config,true,false,
statute,source,*_text,statute_text,generate,synthetic,code,b0524c1,generation recipe,true,false,
statute,source,*_text,regulation_text,file,fixture,code,b0524c1,fixture path,true,false,new family member; feeds the same text_term
statute,source,*_markup,statute_markup,file,riigiteataja-xml,code,b0524c1,fixture path,false,true,machine-readable legislation: Riigi Teataja tyviseadus XML (legislation.riigiteataja); Akoma Ntoso eIds
statute,term,*_term,text_term,oracle,hand-defined catalog,human,operator,authoring procedure / notes,false,true,
statute,term,*_term,text_term,llm,select,deepseek,deepseek-v4-flash,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,select,deepseek,deepseek-v4-pro,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,select,anthropic,fable-5,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,select,anthropic,fable-5.1,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,select,google,gemini-2.5-flash,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,select,google,gemini-3.1-pro,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,select,openai,gpt-5-mini,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,select,openai,gpt-5.6-sol,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,select,anthropic,haiku-4.5,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,synthesize,deepseek,deepseek-v4-flash,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,synthesize,deepseek,deepseek-v4-pro,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,synthesize,anthropic,fable-5,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,synthesize,anthropic,fable-5.1,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,synthesize,google,gemini-2.5-flash,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,synthesize,google,gemini-3.1-pro,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,synthesize,openai,gpt-5-mini,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,synthesize,openai,gpt-5.6-sol,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,text_term,llm,synthesize,anthropic,haiku-4.5,(prompt variant),false,false,capability declared; executor lands with the experiment that needs it
statute,term,*_term,markup_term,parse,provision-resolver,code,b0524c1,markup grammar,false,true,eId -> provision element and display form (legislation.riigiteataja / references)
statute,premise,term_*,term_rule,oracle,hand-authored rules,human,operator,authoring procedure / notes,false,true,
statute,premise,term_*,term_rule,llm,select,deepseek,deepseek-v4-flash,(prompt variant),false,false,loop re-entry (remap/regenerate) is a grid coordinate
statute,premise,term_*,term_rule,llm,select,deepseek,deepseek-v4-pro,(prompt variant),false,false,loop re-entry (remap/regenerate) is a grid coordinate
statute,premise,term_*,term_rule,llm,select,anthropic,fable-5,(prompt variant),false,false,loop re-entry (remap/regenerate) is a grid coordinate
statute,premise,term_*,term_rule,llm,select,anthropic,fable-5.1,(prompt variant),false,false,loop re-entry (remap/regenerate) is a grid coordinate
statute,premise,term_*,term_rule,llm,select,google,gemini-2.5-flash,(prompt variant),false,false,loop re-entry (remap/regenerate) is a grid coordinate
statute,premise,term_*,term_rule,llm,select,google,gemini-3.1-pro,(prompt variant),false,false,loop re-entry (remap/regenerate) is a grid coordinate
statute,premise,term_*,term_rule,llm,select,openai,gpt-5-mini,(prompt variant),false,false,loop re-entry (remap/regenerate) is a grid coordinate
